EV,119416.625500366,108508.32648101
HA,151595.23795719,177144.706904349
MQ,114820.834381346,104138.244650229
OO,117750.206146691,105643.573424506
B6,201054.329164104,240822.08989608
DL,303487.411179341,337597.071814198
NK,274066.014582739,274066.014582739
UA,587859.835917182,755985.014314365
US,300724.435976452,339529.608202046
VX,301370.967179109,388672.229651987
WN,24717.9131499878,25185.6058486982
AA,204990.616671176,238818.965304525
AS,42374.2160328451,50237.4793248323
F9,27895.2796889362,28162.002479859
